GameID,ShooterID,EventID,CnS,Points,TimeCns,v_CnS,dist_at_shot,shot_angle,shooter_move_angle,shooter_travel,DefID,def_dist_at_shot,def_avg_vel,SpeedBeforeShot0.5s,SBS1.0s,SBS1.5s,SBS2.0s,SBS2.5s,SBS3.0s,SBS3.5s,SBS4.0s,SBS4.5s,SBS5.0s,SpeedBeforeCatch0.5s,SBC1.0s,SBC1.5s,SBC2.0s,SBC2.5s,SBC3.0s,SBC3.5s,SBC4.0s,SBC4.5s,SBC5.0s
21500617,203468,14,FALSE,3,3.28,12.56538383,24.51989366,44.34407243,130.3112025,-0.326184294,101162,6.908680098,3.217656318,10.334188,13.03897091,14.80385018,14.83230643,13.81859418,12.73834195,,,,,12.68098432,12.91571835,10.51125573,8.657783111,7.00350079,5.955610103,5.12553449,4.559355009,4.17167855,
21500617,202329,30,TRUE,3,0.76,3.227067567,24.82602219,55.42115994,125.3340304,-1.277272201,1626162,8.747952674,0.80023045,1.581137304,,,,,,,,,,12.173997,13.63474111,13.51147228,12.46142046,11.14569441,10.19046812,9.698079578,9.388891892,9.398593956,9.60298433
21500617,203468,44,TRUE,3,0.36,4.440007822,24.58553398,46.49205201,114.9058333,-0.601760018,202066,8.018893311,4.228916806,,,,,,,,,,,7.954327078,11.8134994,14.0580127,14.77129992,14.32556154,12.96087106,11.5710094,10.53353327,9.523082153,8.81572066
21500617,203468,50,FALSE,0,1.2,5.752788296,28.29400552,27.34713284,69.44657479,2.391028998,202322,2.611998037,1.288123502,8.838125503,6.530964239,,,,,,,,,4.326643555,4.325865129,4.517092653,4.439260926,4.219006412,4.131531311,4.00261377,3.9361377,3.889301648,3.946123092
21500617,203081,54,FALSE,0,4.32,2.979785703,21.87509795,51.51868771,88.6991218,3.011199346,201162,3.18602123,0.513037045,4.832562055,3.478205851,2.499813117,2.463970515,2.100787305,1.890556696,2.011530507,2.461677659,,,9.979773237,9.752706522,8.967578808,8.930396081,9.655891808,10.60428712,11.57433632,12.24824793,12.67158485,12.65290417
21500617,203078,77,TRUE,0,0.12,7.892346069,24.38052518,43.1806899,73.10862883,0.291744939,203459,17.71521816,7.669408482,,,,,,,,,,,14.31017151,16.74371691,18.12028228,18.64090458,18.56874915,17.8476924,16.54955121,15.00262086,13.76836252,12.78518354
21500617,202066,90,FALSE,0,3.32,7.323575337,25.96202086,47.62231588,122.3420265,-3.344861494,202329,4.652545519,1.611466733,4.336961731,5.142400565,7.525198592,8.859732071,8.606824113,7.973049067,,,,,5.671222463,6.806053854,5.325052064,4.86082143,4.680853804,4.345858237,3.85193646,3.442382619,3.281558678,3.164670923
21500617,203086,92,TRUE,0,0.36,3.473273814,24.85378193,15.47500778,59.30395733,0.657910723,201196,12.07323921,5.438431615,,,,,,,,,,,5.696155234,5.3923826,5.163349129,4.336979433,4.249318669,4.033380026,4.622602015,5.457075611,6.350947719,7.03985621
21500617,203086,96,TRUE,3,0.44,1.760700617,26.31428777,43.89253001,69.15380724,0.238469155,202066,13.73254038,9.858538705,,,,,,,,,,,1.348698473,1.677194701,1.881516106,3.193564903,4.967096883,5.872416659,5.782148126,5.283316039,5.212229116,5.25114284
21500617,203459,110,TRUE,3,0.72,2.594324026,22.63519526,30.78967429,40.99185058,0.87857552,202066,5.383453155,15.5038429,1.987101729,,,,,,,,,,1.537830257,2.452365784,2.365339269,2.126036855,1.922321561,2.209214661,2.631958591,2.798008557,2.821315353,2.649489888
